volume_id,split,uncertainty,typicality,uncertainty_normalized,typicality_normalized
volume_0000,train,0.3745401188473625,0.6227604362050507,0.3728496469820944,0.6227604362050507
volume_0001,train,0.9507143064099162,0.0,0.979779803001129,0.0
volume_0002,train,0.7319939418114051,0.43251504060923274,0.7493842249348999,0.43251504060923274
volume_0003,train,0.5986584841970366,0.15717278580875893,0.6089313691151965,0.15717278580875893
volume_0004,train,0.15601864044243652,0.8857540785585145,0.14266357158208726,0.8857540785585145
volume_0005,train,0.15599452033620265,0.45207145488784223,0.14263816395336018,0.45207145488784223
volume_0006,train,0.05808361216819946,0.6762791780521145,0.039500807138117704,0.6762791780521145
volume_0007,train,0.8661761457749352,0.17319610139888952,0.8907290261157434,0.17319610139888952
volume_0008,train,0.6011150117432088,0.5465783042558733,0.6115190252078282,0.5465783042558733
volume_0009,train,0.7080725777960455,0.3262010784419486,0.7241859472136264,0.3262010784419486
volume_0010,train,0.020584494295802447,0.9562858492265495,0.0,0.9562858492265495
volume_0011,train,0.9699098521619943,0.0,1.0,0.0
volume_0012,train,0.8324426408004217,0.0,0.8551948389216538,0.0
volume_0013,train,0.21233911067827616,0.6436920476427821,0.20199040802352786,0.6436920476427821
volume_0014,train,0.18182496720710062,0.7260472786009419,0.16984743067826608,0.7260472786009419
volume_0015,train,0.18340450985343382,1.0,0.17151128873624902,1.0
volume_0016,train,0.3042422429595377,0.7644814149541546,0.2987992960614848,0.7644814149541546
volume_0017,train,0.5247564316322378,0.12263553729521537,0.5310844518781924,0.12263553729521537
volume_0018,train,0.43194501864211576,0.6328717752368432,0.43331879943766854,0.6328717752368432
volume_0019,train,0.2912291401980419,0.6317544037186947,0.28509155861017993,0.6317544037186947
volume_0020,train,0.6118528947223795,0.25276270521642874,0.622830092472803,0.25276270521642874
volume_0021,train,0.13949386065204183,0.9828413971161317,0.12525670506001563,0.9828413971161317
volume_0022,train,0.29214464853521815,0.9140552559639721,0.2860559364492319,0.9140552559639721
volume_0023,train,0.3663618432936917,0.819894180529548,0.3642348180555257,0.819894180529548
volume_0024,train,0.45606998421703593,0.3760865111384364,0.45873154689565926,0.3760865111384364
volume_0025,train,0.7851759613930136,0.1529815634367435,0.8054050813683004,0.1529815634367435
volume_0026,train,0.19967378215835974,0.866578904122353,0.18864900887625932,0.866578904122353
volume_0027,train,0.5142344384136116,0.6808745870108602,0.5200007984906155,0.6808745870108602
volume_0028,train,0.5924145688620425,0.3117505835688995,0.6023541558518443,0.3117505835688995
volume_0029,train,0.046450412719997725,0.9164177919472388,0.027246631736809773,0.9164177919472388
volume_0030,train,0.6075448519014384,0.17118815329735598,0.6182920878938203,0.17118815329735598
volume_0031,train,0.17052412368729153,0.5902345514965743,0.15794335224386072,0.5902345514965743
volume_0032,train,0.06505159298527952,1.0,0.04684073623549487,1.0
volume_0033,train,0.9488855372533332,0.32236246846083133,0.9778534148124752,0.32236246846083133
volume_0034,train,0.9656320330745594,0.01996594260937387,0.9954938324864193,0.01996594260937387
volume_0035,train,0.8083973481164611,0.39230923146194374,0.8298660172645483,0.39230923146194374
volume_0036,train,0.3046137691733707,0.7677134358361561,0.29919065420941005,0.7677134358361561
volume_0037,train,0.09767211400638387,0.7733039350725912,0.0812025287977686,0.7733039350725912
volume_0038,train,0.6842330265121569,0.3880460945895259,0.6990738493576574,0.3880460945895259
volume_0039,train,0.4401524937396013,0.8674548195535925,0.4419643865690748,0.8674548195535925
